"doc_id","text","pol_account","id","date","context","issue","policy_flag","stance","annotator","annotated_at","selected_at","uncertainty","not_sentence","draft_flag","issue2","uncertainty2","stance2"
"text1949033.1","And there is no UK wide party offering the opportunity to rejoin.","PeteWishart",1641837348311777280,"2023-03-31T16:18:22Z","And there is no UK wide party offering the opportunity to rejoin. They are all parties of a hard Brexit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text228476.2","It's fantastic that they're calling on @govuk to protect jobs &amp; income, &amp; create jobs.","johnbirdswords",1330871809382682624,"2020-11-23T13:52:20Z","Today @NEF is launching the ‘Winter Plan for Jobs, Incomes and Communities’ for the #BuildBackBetter coalition. It's fantastic that they're calling on @govuk to protect jobs &amp; income, &amp; create jobs. This aligns with our aims at RORA &amp; @BigIssue #roar4RORA https://t.co/esIwjgHkUh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1051758.1","@jmacross46 Thanks John, appreciate those kind words, looking forward to getting out on doors with you next week.","MargaretFerrier",1187872567266369536,"2019-10-25T23:24:24Z","@jmacross46 Thanks John, appreciate those kind words, looking forward to getting out on doors with you next week.

Enjoy the family birthday party 🎉",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1908008.2","Today's Autumn Statement delivers the security and dignity pensioners deserve.","Q66Suzi",1593218587745210368,"2022-11-17T12:24:46Z","RT @Conservatives: 🔐 Triple Lock Protected. Today's Autumn Statement delivers the security and dignity pensioners deserve.

#AutumnStatemen…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1406798.1","My weekly video discussing my shift at the The Fat Greek Taverna in Worthing with Mims Davies MP, a visit to the new DWP office, meetings at Conference and much more. https://t.co/7HmodLTxhr","timloughton",1445389539950960640,"2021-10-05T14:04:55Z","My weekly video discussing my shift at the The Fat Greek Taverna in Worthing with Mims Davies MP, a visit to the new DWP office, meetings at Conference and much more. https://t.co/7HmodLTxhr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text635173.1","The Mid Sussex @MSDCnews planning inspector's proposals are totally unrealistic &amp; should be reconsidered.","nickherbertcbe",833986875018854400,"2017-02-21T10:29:00Z","The Mid Sussex @MSDCnews planning inspector's proposals are totally unrealistic &amp; should be reconsidered. My comment https://t.co/AG8u0FCOkH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1965964.1","Good luck to everyone taking part in the #UnitedForCambridge sleepout tonight, raising money for @iStreetChild and @Jimmyscambridge.","DanielZeichner",1101595791796387840,"2019-03-01T21:31:18Z","Good luck to everyone taking part in the #UnitedForCambridge sleepout tonight, raising money for @iStreetChild and @Jimmyscambridge.  @CambridgeUtdFC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1338323.2","Thanks to everyone who stopped for a chat and thanks to the amazing @UKLabour volunteers who came along to listen to people’s thoughts too. https://t.co/i9fcxSr3dt","peterkyle",1454501484243165184,"2021-10-30T17:32:31Z","Was lovely to spend the afternoon meeting residents, shoppers and retailers in Portslade today.

Thanks to everyone who stopped for a chat and thanks to the amazing @UKLabour volunteers who came along to listen to people’s thoughts too. https://t.co/i9fcxSr3dt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1482509.1","Average take-home pay has plummeted by nearly £80 a month in 2022.","johnmcdonnellMP",1602628141352206336,"2022-12-13T11:34:58Z","Average take-home pay has plummeted by nearly £80 a month in 2022.

Tory inaction on wages simply can't continue if millions aren't to suffer even further.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text67886.1","colleague @Paulscriven “No country has passed more emergency COVID legislation than UK, most countries have much better health outcomes”","LizBarkerLords",1358818543517782016,"2021-02-08T16:42:41Z","colleague @Paulscriven “No country has passed more emergency COVID legislation than UK, most countries have much better health outcomes”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1957229.2","Today Britain has set forth on the road to freedom and democracy.","William_Wragg",746208318327132160,"2016-06-24T05:08:21Z","Happy Independence Day. Today Britain has set forth on the road to freedom and democracy. God Save the Queen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text870090.1","Local residents oppose the proposed expansion of the Edmonton Incinerator because of the pollution it would force people to breathe.","jeremycorbyn",1458842416161644544,"2021-11-11T17:01:50Z","Local residents oppose the proposed expansion of the Edmonton Incinerator because of the pollution it would force people to breathe.

The company bidding for the contract has been at #COP26 talking about the environment. @ACCIONA_EN should not go through with this dirty deal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1481518.1","👇”no country is immune from racism &amp; we all have issues to confront, but all of us right now feel a strong desire to stand in solidarity with those protesting racism &amp; to make clear it is an evil that has no place in our society”.","Stuart_McDonald",1267889977100242944,"2020-06-02T18:45:01Z","👇”no country is immune from racism &amp; we all have issues to confront, but all of us right now feel a strong desire to stand in solidarity with those protesting racism &amp; to make clear it is an evil that has no place in our society”.
#BlackLivesMattter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1094503.2","The imposition of Soviet communism on Eastern Europe started in 1944, well before the Cold War; Nato…","Mark4WyreForest",1035090309083000832,"2018-08-30T09:02:15Z","RT @anneapplebaum: Hey @jeremycorbyn! The imposition of Soviet communism on Eastern Europe started in 1944, well before the Cold War; Nato…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text923617.1","We need a debate on the equal right to #SpeechAndLangauge therapy with equal rights for all MPs to speak through #RemoteParticipation @RCSLT @mikejwood @Jochurchill4 @vickyford @DawnButlerBrent @SteveHermon","GeraintDaviesMP",1312684496299450368,"2020-10-04T09:22:27Z","We need a debate on the equal right to #SpeechAndLangauge therapy with equal rights for all MPs to speak through #RemoteParticipation @RCSLT @mikejwood @Jochurchill4 @vickyford @DawnButlerBrent @SteveHermon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text453683.2","I see in your article you claim I said: “It’s great to be back on Terra Cotta again.”","johnprescott",1537092223677890560,"2022-06-15T15:18:38Z","Hi @CarolMidgley. I see in your article you claim I said: “It’s great to be back on Terra Cotta again.” 
Never said it. 
It was actually said by Del Boy in Only Fools and Horses. I’m sure you and @thetimes will amend it immediately. Here’s the proof. https://t.co/0Ntrgag9Zk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1720099.3","Here's what the children have been learning about: https://t.co/8N8jSEzvs5","Lee4NED",995211558178508800,"2018-05-12T07:58:20Z","Yesterday I visited Year 3 at Killamarsh Juniors who have been learning about the threat to seahorses in the Philippines.  Thanks to everyone who wrote such great letters and were able to tell me all about it!  Here's what the children have been learning about: https://t.co/8N8jSEzvs5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text700905.1","Have you got rid of that criminal of a Prime Minister who whipped his Tory MPs to vote against extending free school meals.","MikeAmesburyMP",1529855350702317568,"2022-05-26T16:01:53Z","Have you got rid of that criminal of a Prime Minister who whipped his Tory MPs to vote against extending free school meals. The one that made Downing Street party central while people could not say goodbye to their loved ones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1590400.1","Hideous advert on tube @MayorofLondon @TfL - we shouldn't have to put up with references like this on transport network, kids are seeing that every day. https://t.co/h7NHQdBZBA","carolinenokes",1628789298882289664,"2023-02-23T16:10:04Z","Hideous advert on tube @MayorofLondon @TfL - we shouldn't have to put up with references like this on transport network, kids are seeing that every day. https://t.co/h7NHQdBZBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1589080.3","Getting folk back into our town and city centres key to urban regeneration.","MrJohnNicolson",1619321563538681856,"2023-01-28T13:08:40Z","Real pleasure to visit new housing development at Primrose Place in #Alloa  60 socially rented homes on a brownfield site, reinstating the historic street pattern. Dementia friendly too. Getting folk back into our town and city centres key to urban regeneration. Well done team. https://t.co/OqyGiPv554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1921415.2","I always try to travel to meetings in the constituency on my bike.","MattWestern_",1555127226118684672,"2022-08-04T09:43:18Z","A beautiful morning for #CycleToWorkDay. 

I always try to travel to meetings in the constituency on my bike. 

It's better for the environment and for air quality.

And, most importantly, it's enjoyable! https://t.co/utW8L3v5dh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text98320.2","I shall work as hard as is possible to ensure this country continues to have real influence and our children a real future by staying in the EU - the greatest peacetime achievement for at least a century.","lorddeben",1069376547277217792,"2018-12-02T23:43:31Z","Thank you very much. I shall work as hard as is possible to ensure this country continues to have real influence and our children a real future by staying in the EU - the greatest peacetime achievement for at least a century.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text443372.1","@LoganTinalogan @paulcoxon the track record of these cakes, made of course by the better half, have been proven many times #Xmascake","LordCourtown",403987136149745664,"2013-11-22T20:43:33Z","@LoganTinalogan @paulcoxon the track record of these cakes, made of course by the better half, have been proven many times #Xmascake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text506460.3","Plaid Cymru is fighting to keep our bus services fully funded. https://t.co/6DweTxgcdH","Plaid_Cymru",1639175219955785728,"2023-03-24T08:00:01Z","Plaid Cymru want to connect our communities - not cut them off. 

But the Labour government is proposing a huge cut to bus services in Wales. 

Plaid Cymru is fighting to keep our bus services fully funded. https://t.co/6DweTxgcdH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1489812.1","It’s unacceptable that many families, students &amp; businesses in St Helens North &amp; across Merseyside still struggle to access good-quality internet, especially when connectivity has become so vital.","ConorMcGinn",1327295163320856576,"2020-11-13T17:00:01Z","It’s unacceptable that many families, students &amp; businesses in St Helens North &amp; across Merseyside still struggle to access good-quality internet, especially when connectivity has become so vital. Everyone needs access to decent, fast &amp; reliable broadband

https://t.co/152BabFy32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text863176.3","I wish Qasim and the team every success. https://t.co/gHvcnMgNVY","DamianCollins",1471865895194607616,"2021-12-17T15:32:30Z","Delighted to open QFlooring today. Started by a young entrepreneur and opened during the pandemic, they now have a physical store at 16 Fleming Way, Folkestone. I wish Qasim and the team every success. https://t.co/gHvcnMgNVY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1683665.1","As part of my @LabourDfID role I recently wrote to Lord Ahmad outlining my concerns at disparities in reported aid figures  I worry deeply that the UK Govt are reporting one thing on paper and on the ground NGOs and aid programmes are being starved of life-saving funding https://t.co/EKS5oNyrYa","YasminQureshiMP",1418498411289055232,"2021-07-23T09:09:10Z","As part of my @LabourDfID role I recently wrote to Lord Ahmad outlining my concerns at disparities in reported aid figures

I worry deeply that the UK Govt are reporting one thing on paper and on the ground NGOs and aid programmes are being starved of life-saving funding https://t.co/EKS5oNyrYa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1504544.1","Great to be out with local councillors and volunteers on Fitton Hill this morning, doing our bit to help the Great British Spring Clean   @OldhamCouncil @ForHousing #litterheroes #loveoldham https://t.co/qsaCRfQfwU","JimfromOldham",1403708255373832192,"2021-06-12T13:38:22Z","Great to be out with local councillors and volunteers on Fitton Hill this morning, doing our bit to help the Great British Spring Clean   @OldhamCouncil @ForHousing #litterheroes #loveoldham https://t.co/qsaCRfQfwU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text550345.1","Yesterday I spent some time with primary care in Cosham and listened into calls from the public needing at access GP appointments.","PennyMordaunt",1449467869033553920,"2021-10-16T20:10:44Z","Yesterday I spent some time with primary care in Cosham and listened into calls from the public needing at access GP appointments. I wanted to understand the pressures and the processes to ensure my constituents can access the healthcare they need…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text69218.1","Greatly look forward to welcoming these new honorary Canons to @SouthwMinster in the Spring","BishopPaulW",1340980744005578752,"2020-12-21T11:21:38Z","Greatly look forward to welcoming these new honorary Canons to @SouthwMinster in the Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1927634.1","Up to date information, folks in South Derbyshire please use if you need help","HeatherWheeler",1574074731476623360,"2022-09-25T16:33:55Z","Up to date information, folks in South Derbyshire please use if you need help",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text563270.4","My colleague @RishiSunak said ‘whatever it takes’ &amp; we certainly meant it!","Simonhartmp",1271012914053492736,"2020-06-11T09:34:27Z","Eye watering figures released today. 316,000 Welsh jobs have been supported by the UK Gov job retention scheme &amp; another 102,000 via our self-employed scheme. Self-employed alone is worth £273 million. My colleague @RishiSunak said ‘whatever it takes’ &amp; we certainly meant it!🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text743032.1","The strangest thing that’s happened to me since being flung into the public eye is, and always will be, the Kitkat truthers.","MhairiBlack",1186700847327129600,"2019-10-22T17:48:24Z","The strangest thing that’s happened to me since being flung into the public eye is, and always will be, the Kitkat truthers. God love the lot of you honestly. 😂",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1911585.2","I call on the international community to offer full &amp; complete support to the emergency relief response.","ClaudiaWebbe",1638229666119950336,"2023-03-21T17:22:43Z","Thoughts are with the people of Kashmir as they deal with today’s horrific earthquake.

I call on the international community to offer full &amp; complete support to the emergency relief response.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1355171.1","Pauline Latham calls for DCMS support for Derwent Valley Mills cycle routes: Pauline Latham OBE MP calls for t... http://t.co/1ck0jyXEvJ","Pauline_Latham",411126521986691072,"2013-12-12T13:32:55Z","Pauline Latham calls for DCMS support for Derwent Valley Mills cycle routes: Pauline Latham OBE MP calls for t... http://t.co/1ck0jyXEvJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text474046.1","@LabourLordsUK @SluggerOToole @EamonnMallie @SuzyJourno @WAVETrauma @AlexKane221b @naomi_long @pimlicat @LadyBasildon @peterkyle @ToniaAntoniazzi","PeterHain",1615768796827893760,"2023-01-18T17:51:15Z","@LabourLordsUK @SluggerOToole @EamonnMallie @SuzyJourno @WAVETrauma @AlexKane221b @naomi_long @pimlicat @LadyBasildon @peterkyle @ToniaAntoniazzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1349258.1","All of the focus just now should be on tackling the cost of living crisis and supporting our NHS.","John2Win",1579781072669540352,"2022-10-11T10:28:53Z","All of the focus just now should be on tackling the cost of living crisis and supporting our NHS.

Instead, Scottish and UK Government lawyers have been forced into a costly and lengthy court battle - all because of the SNP’s obsession with #indyref2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text156715.1","Baroness Julia Cumberlege opens conference with powerful speech on links between digital transformation, GS1 standards and improved patient safety","LordPhilofBrum",1504394849633587200,"2022-03-17T09:50:57Z","Baroness Julia Cumberlege opens conference with powerful speech on links between digital transformation, GS1 standards and improved patient safety",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text376340.1","@AinleyFalco There’s a fair amount about Zionism and my grandfather’s interests in Palestinians in the book.","Dannythefink",1657317094357123072,"2023-05-13T09:29:21Z","@AinleyFalco There’s a fair amount about Zionism and my grandfather’s interests in Palestinians in the book.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1692143.2","Need to be thinking about next phase to protect the vulnerable and get more back to work.","johnredwood",1247637266597646336,"2020-04-07T21:27:58Z","Good to hear some hope of reaching a peak soon in virus cases. Need to be thinking about next phase to protect the vulnerable and get more back to work.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text498090.1","We need an immediate investigation  If Kwasi Kwarteng is found to have broken the ministerial code, surely Liz Truss will have no choice but to sack him.","LibDems",1579101642976555008,"2022-10-09T13:29:04Z","We need an immediate investigation

If Kwasi Kwarteng is found to have broken the ministerial code, surely Liz Truss will have no choice but to sack him.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text845855.3","I hope this will include gender critical lesbians like myself &amp; the founders of @ALLIANCELGB","joannaccherry",1586660361704456192,"2022-10-30T10:04:43Z","New @stonewalluk chair @iain_w_anderson says on @bbclaurak that he believes in big tent politics &amp; will meet with women’s groups. This is welcome. I hope this will include gender critical lesbians like myself &amp; the founders of @ALLIANCELGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text385768.1","Really saddened by the sudden death of Martin Brelsford, who served with me as a Liberal Democrat Cllr in Sheffield.","Paulscriven",1435483641837244416,"2021-09-08T06:02:24Z","Really saddened by the sudden death of Martin Brelsford, who served with me as a Liberal Democrat Cllr in Sheffield.
Martin was a wonderful colleague  who was caring, great company and was a champion for Stocksbridge. Sending my love to Alison and the two boys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1214356.2","📩  I asked Govt to rethink 'defence' and invest in long term solutions for our changing world.","Wera_Hobhouse",1382676233843048448,"2021-04-15T12:44:37Z","This week I Ied the first ever Parliamentary debate on #GlobalHumanSecurity, which I applied for on behalf of a group of constituents. 📩

I asked Govt to rethink 'defence' and invest in long term solutions for our changing world. 🌎

Watch here: 📺👇

https://t.co/S24T4In8Q7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1727560.2","It would detrimentally alter the character of the village for good.   @mabonapgwynfor and I support the local community in their opposition to this proposal and hope the Supreme Court throws out this application. 🏘 https://t.co/mo4Lvf295h","LSRPlaid",1542544641765031936,"2022-06-30T16:24:36Z","This proposal would bring no benefit to #Aberdyfi. It would detrimentally alter the character of the village for good. 

@mabonapgwynfor and I support the local community in their opposition to this proposal and hope the Supreme Court throws out this application. 🏘 https://t.co/mo4Lvf295h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text782986.3","But the time to tackle the #costoflivingcrisis is now. https://t.co/B3TMp7SXP1","KarenPBuckMP",1526639592933404672,"2022-05-17T19:03:37Z","Labour did. The government did not. But the time to tackle the #costoflivingcrisis is now. https://t.co/B3TMp7SXP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text652960.2","Director Jonathan Ornstein presents me with foundation stones decorated by the school’s children for UK’s Holocaust Memorial @UKHMF https://t.co/iEAvwhnvFU","EricPickles",1222500438328725504,"2020-01-29T12:43:12Z","Emotional moment to visit the first Jewish Kindergarten in established in Krakow since 1939.   Director Jonathan Ornstein presents me with foundation stones decorated by the school’s children for UK’s Holocaust Memorial @UKHMF https://t.co/iEAvwhnvFU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1021310.1","Pleased to visit the successful #woolwichlibrary this morning and meet members of the @LibTaskforce #librariestaskforce and thank them for the work they do. https://t.co/5U57w7k05n","Michael_Ellis1",961192130092961792,"2018-02-07T10:57:16Z","Pleased to visit the successful #woolwichlibrary this morning and meet members of the @LibTaskforce #librariestaskforce and thank them for the work they do. https://t.co/5U57w7k05n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text538507.2","Grads &amp; students @OpenUniversity join Minister @michelledonelan &amp; ⁦@Ben_Everitt⁩…","michelledonelan",1535629949922598912,"2022-06-11T14:28:05Z","RT @TimJBlackman: 2.2 million since 1969 &amp; still counting! Grads &amp; students @OpenUniversity join Minister @michelledonelan &amp; ⁦@Ben_Everitt⁩…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text820913.2","If that was not the intention then I would be glad to hear it!","amcarmichaelMP",1539936947187097600,"2022-06-23T11:42:33Z","@ionafyfe The message appeared to be that Scots hold fundamentally different values from people in England, Wales and Northern Ireland. If that was not the intention then I would be glad to hear it!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text563187.1","In Wales the UK Internal Market Bill will ensure that our seamless trade with the rest of the UK can continue without additional costs or regulatory burdens.","Simonhartmp",1306548577758580736,"2020-09-17T11:00:30Z","In Wales the UK Internal Market Bill will ensure that our seamless trade with the rest of the UK can continue without additional costs or regulatory burdens. It will protect jobs &amp; livelihoods. 

That is what this Bill is all about. https://t.co/gWn9AyVftu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1957860.1","Full constituency surgery in #Bredbury with @SydLloyd, helping residents with lots and varied issues","William_Wragg",614470869918851072,"2015-06-26T16:30:46Z","Full constituency surgery in #Bredbury with @SydLloyd, helping residents with lots and varied issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1750979.2","Child marriage is child abuse, and shouldn't be allowed. https://t.co/p7IVP7BzvW","VirendraSharma",1462809345155125248,"2021-11-22T15:45:00Z","On Friday I spoke in the second reading debate on the child marriage bill, seeking to outlaw marriage under 18. Child marriage is child abuse, and shouldn't be allowed. https://t.co/p7IVP7BzvW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text377073.1","@MrsHelmutScholz @MarcusduSautoy Well, it was pretty helpful.","Dannythefink",1612010974990553088,"2023-01-08T08:59:00Z","@MrsHelmutScholz @MarcusduSautoy Well, it was pretty helpful. I don’t think I would have become the Royal Statistical Society’s Journalist of the Year without it. Seriously, first I’m sorry if you feel I am awful. If that’s down to the way I put my arguments, I apologise. If it’s just because we differ I can’t…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text484507.1","56% of those polled believe that Charles should not be #Scotland’s King if he does not come to Scotland to be coronated.","AlbaParty",1610666991546679296,"2023-01-04T15:58:30Z","56% of those polled believe that Charles should not be #Scotland’s King if he does not come to Scotland to be coronated.

𝙍𝙚𝙖𝙙 𝙢𝙤𝙧𝙚: https://t.co/RfGlq7KxOq

#ALBAforIndependence https://t.co/D369UxRJqh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text549176.3","You can’t get up on deck on a hovercraft.  #sealegs https://t.co/nP6jREbqFx","PennyMordaunt",1502300318041788416,"2022-03-11T15:08:01Z","Business on the Isle of Wight today. 
Emotional journey across the Solent this morning. 
You can’t get up on deck on a hovercraft. 
#sealegs https://t.co/nP6jREbqFx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text760918.1","Absolutely dire response from Tory Minister in last night's Commons debate on the crisis in #NHS dentistry in the South West.","BenPBradshaw",1485990086655287296,"2022-01-25T14:56:59Z","Absolutely dire response from Tory Minister in last night's Commons debate on the crisis in #NHS dentistry in the South West. My point to the Minister. https://t.co/CLdcM4yXbg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text384857.1","This just confirms that @FIFAcom is run by a set of individuals who have no moral compass and are driven by thier own vanity and money.","Paulscriven",1593949704509087744,"2022-11-19T12:49:58Z","This just confirms that @FIFAcom is run by a set of individuals who have no moral compass and are driven by thier own vanity and money.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text94450.2","Brexit will dominate our lives for a very long time https://t.co/yOdmd4avuj","LPNorthover",750581950243561472,"2016-07-06T06:47:36Z","RT @MichaelWhite: No, it's not temporary. Brexit will dominate our lives for a very long time https://t.co/yOdmd4avuj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1140970.2","Not only supplying our grommets to companies producing the electric battery, bu…","griffitha",1453286433272344576,"2021-10-27T09:04:21Z","RT @Grommetsltd: We have joined the Electric Vehicle world! Not only supplying our grommets to companies producing the electric battery, bu…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1411113.1","Looking forward to visiting the Munich Security Conference next week alongside Parliamentarians from around the world.","HollyLynch5",1623098496327856128,"2023-02-07T23:16:51Z","Looking forward to visiting the Munich Security Conference next week alongside Parliamentarians from around the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
